 &plot nbnd=  13, nks=   401 /
            0.000000  0.000000  0.000000
  -22.091  -19.529  -15.095  -11.133  -10.141   -9.136   -7.994   -7.610   -7.394   -0.667
   -0.394   -0.374    0.047
            0.000000  0.000000  0.002500
  -22.090  -19.529  -15.094  -11.133  -10.140   -9.137   -7.994   -7.610   -7.395   -0.666
   -0.394   -0.374    0.048
            0.000000  0.000000  0.005000
  -22.090  -19.529  -15.094  -11.133  -10.140   -9.138   -7.994   -7.610   -7.396   -0.666
   -0.394   -0.373    0.048
            0.000000  0.000000  0.007500
  -22.090  -19.528  -15.094  -11.132  -10.139   -9.141   -7.995   -7.609   -7.398   -0.666
   -0.393   -0.373    0.049
            0.000000  0.000000  0.010000
  -22.089  -19.528  -15.093  -11.132  -10.139   -9.144   -7.995   -7.608   -7.402   -0.666
   -0.392   -0.372    0.050
            0.000000  0.000000  0.012500
  -22.088  -19.527  -15.092  -11.132  -10.137   -9.149   -7.995   -7.607   -7.406   -0.666
   -0.391   -0.370    0.051
            0.000000  0.000000  0.015000
  -22.087  -19.526  -15.091  -11.131  -10.136   -9.155   -7.996   -7.605   -7.411   -0.665
   -0.389   -0.369    0.053
            0.000000  0.000000  0.017500
  -22.085  -19.524  -15.090  -11.130  -10.134   -9.162   -7.996   -7.604   -7.417   -0.665
   -0.388   -0.367    0.055
            0.000000  0.000000  0.020000
  -22.084  -19.523  -15.089  -11.130  -10.132   -9.169   -7.997   -7.602   -7.424   -0.664
   -0.386   -0.365    0.057
            0.000000  0.000000  0.022500
  -22.082  -19.521  -15.087  -11.129  -10.130   -9.178   -7.997   -7.600   -7.432   -0.664
   -0.384   -0.362    0.060
            0.000000  0.000000  0.025000
  -22.080  -19.519  -15.086  -11.128  -10.128   -9.188   -7.998   -7.597   -7.441   -0.663
   -0.381   -0.360    0.063
            0.000000  0.000000  0.027500
  -22.077  -19.517  -15.084  -11.127  -10.125   -9.199   -7.999   -7.594   -7.451   -0.663
   -0.378   -0.357    0.066
            0.000000  0.000000  0.030000
  -22.075  -19.514  -15.082  -11.125  -10.122   -9.210   -8.000   -7.591   -7.462   -0.662
   -0.375   -0.353    0.069
            0.000000  0.000000  0.032500
  -22.072  -19.512  -15.080  -11.124  -10.119   -9.223   -8.001   -7.588   -7.473   -0.661
   -0.372   -0.350    0.073
            0.000000  0.000000  0.035000
  -22.069  -19.509  -15.077  -11.123  -10.115   -9.237   -8.002   -7.584   -7.486   -0.660
   -0.368   -0.346    0.077
            0.000000  0.000000  0.037500
  -22.066  -19.506  -15.075  -11.121  -10.111   -9.252   -8.003   -7.580   -7.499   -0.659
   -0.365   -0.342    0.082
            0.000000  0.000000  0.040000
  -22.063  -19.503  -15.072  -11.120  -10.107   -9.267   -8.004   -7.576   -7.513   -0.659
   -0.361   -0.337    0.087
            0.000000  0.000000  0.042500
  -22.059  -19.499  -15.069  -11.118  -10.103   -9.284   -8.006   -7.572   -7.529   -0.658
   -0.356   -0.332    0.092
            0.000000  0.000000  0.045000
  -22.055  -19.496  -15.066  -11.116  -10.098   -9.301   -8.007   -7.567   -7.545   -0.657
   -0.352   -0.327    0.097
            0.000000  0.000000  0.047500
  -22.051  -19.492  -15.063  -11.114  -10.094   -9.319   -8.009   -7.563   -7.561   -0.656
   -0.347   -0.322    0.103
            0.000000  0.000000  0.050000
  -22.047  -19.488  -15.059  -11.112  -10.088   -9.339   -8.011   -7.579   -7.557   -0.655
   -0.342   -0.317    0.109
            0.000000  0.000000  0.052500
  -22.043  -19.483  -15.056  -11.110  -10.083   -9.359   -8.012   -7.597   -7.552   -0.653
   -0.337   -0.311    0.115
            0.000000  0.000000  0.055000
  -22.038  -19.479  -15.052  -11.108  -10.078   -9.380   -8.014   -7.617   -7.546   -0.652
   -0.331   -0.305    0.121
            0.000000  0.000000  0.057500
  -22.033  -19.474  -15.048  -11.106  -10.072   -9.402   -8.016   -7.637   -7.540   -0.651
   -0.325   -0.298    0.128
            0.000000  0.000000  0.060000
  -22.028  -19.469  -15.044  -11.104  -10.066   -9.424   -8.019   -7.658   -7.534   -0.650
   -0.319   -0.291    0.136
            0.000000  0.000000  0.062500
  -22.023  -19.464  -15.040  -11.101  -10.059   -9.448   -8.021   -7.679   -7.528   -0.649
   -0.313   -0.284    0.143
            0.000000  0.000000  0.065000
  -22.017  -19.459  -15.035  -11.099  -10.053   -9.472   -8.024   -7.702   -7.521   -0.648
   -0.306   -0.277    0.151
            0.000000  0.000000  0.067500
  -22.011  -19.454  -15.031  -11.096  -10.046   -9.497   -8.026   -7.725   -7.514   -0.647
   -0.299   -0.269    0.159
            0.000000  0.000000  0.070000
  -22.005  -19.448  -15.026  -11.093  -10.038   -9.523   -8.029   -7.749   -7.507   -0.645
   -0.292   -0.262    0.167
            0.000000  0.000000  0.072500
  -21.999  -19.442  -15.021  -11.091  -10.031   -9.550   -8.032   -7.774   -7.499   -0.644
   -0.285   -0.254    0.176
            0.000000  0.000000  0.075000
  -21.993  -19.436  -15.016  -11.088  -10.023   -9.577   -8.035   -7.799   -7.491   -0.643
   -0.277   -0.245    0.185
            0.000000  0.000000  0.077500
  -21.986  -19.430  -15.011  -11.085  -10.015   -9.605   -8.038   -7.825   -7.483   -0.642
   -0.269   -0.236    0.194
            0.000000  0.000000  0.080000
  -21.979  -19.423  -15.005  -11.082  -10.007   -9.634   -8.042   -7.852   -7.475   -0.641
   -0.261   -0.227    0.204
            0.000000  0.000000  0.082500
  -21.972  -19.416  -15.000  -11.079   -9.999   -9.664   -8.045   -7.879   -7.466   -0.640
   -0.253   -0.218    0.214
            0.000000  0.000000  0.085000
  -21.965  -19.409  -14.994  -11.076   -9.990   -9.694   -8.049   -7.907   -7.458   -0.639
   -0.244   -0.209    0.224
            0.000000  0.000000  0.087500
  -21.957  -19.402  -14.988  -11.072   -9.981   -9.725   -8.053   -7.936   -7.449   -0.638
   -0.235   -0.199    0.235
            0.000000  0.000000  0.090000
  -21.950  -19.395  -14.982  -11.069   -9.972   -9.756   -8.057   -7.965   -7.439   -0.637
   -0.226   -0.189    0.246
            0.000000  0.000000  0.092500
  -21.942  -19.387  -14.976  -11.066   -9.962   -9.788   -8.061   -7.995   -7.430   -0.636
   -0.217   -0.178    0.257
            0.000000  0.000000  0.095000
  -21.934  -19.380  -14.969  -11.062   -9.953   -9.821   -8.065   -8.025   -7.420   -0.636
   -0.207   -0.168    0.268
            0.000000  0.000000  0.097500
  -21.925  -19.372  -14.963  -11.059   -9.943   -9.854   -8.070   -8.056   -7.410   -0.635
   -0.198   -0.157    0.280
            0.000000  0.000000  0.100000
  -21.917  -19.363  -14.956  -11.055   -9.932   -9.888   -8.088   -8.075   -7.399   -0.634
   -0.188   -0.146    0.292
            0.000000  0.000000  0.102500
  -21.908  -19.355  -14.949  -11.052   -9.923   -9.922   -8.120   -8.079   -7.388   -0.634
   -0.177   -0.134    0.305
            0.000000  0.000000  0.105000
  -21.899  -19.346  -14.942  -11.048   -9.958   -9.911   -8.153   -8.085   -7.378   -0.633
   -0.167   -0.122    0.317
            0.000000  0.000000  0.107500
  -21.890  -19.338  -14.935  -11.044   -9.993   -9.900   -8.186   -8.090   -7.366   -0.633
   -0.156   -0.110    0.330
            0.000000  0.000000  0.110000
  -21.880  -19.329  -14.928  -11.040  -10.030   -9.889   -8.220   -8.095   -7.355   -0.633
   -0.145   -0.098    0.344
            0.000000  0.000000  0.112500
  -21.870  -19.319  -14.920  -11.036  -10.066   -9.877   -8.254   -8.101   -7.343   -0.633
   -0.134   -0.085    0.357
            0.000000  0.000000  0.115000
  -21.861  -19.310  -14.913  -11.033  -10.103   -9.866   -8.288   -8.106   -7.331   -0.633
   -0.122   -0.073    0.371
            0.000000  0.000000  0.117500
  -21.850  -19.300  -14.905  -11.029  -10.141   -9.854   -8.323   -8.112   -7.319   -0.633
   -0.111   -0.059    0.385
            0.000000  0.000000  0.120000
  -21.840  -19.290  -14.897  -11.025  -10.179   -9.841   -8.359   -8.119   -7.307   -0.633
   -0.099   -0.046    0.400
            0.000000  0.000000  0.122500
  -21.830  -19.280  -14.889  -11.021  -10.217   -9.829   -8.395   -8.125   -7.294   -0.634
   -0.087   -0.032    0.415
            0.000000  0.000000  0.125000
  -21.819  -19.270  -14.881  -11.017  -10.256   -9.816   -8.431   -8.131   -7.281   -0.634
   -0.074   -0.018    0.430
            0.000000  0.000000  0.127500
  -21.808  -19.260  -14.873  -11.013  -10.296   -9.803   -8.468   -8.138   -7.268   -0.635
   -0.062   -0.004    0.445
            0.000000  0.000000  0.130000
  -21.797  -19.249  -14.865  -11.009  -10.335   -9.790   -8.505   -8.145   -7.254   -0.636
   -0.049    0.010    0.461
            0.000000  0.000000  0.132500
  -21.785  -19.238  -14.856  -11.005  -10.376   -9.776   -8.542   -8.152   -7.240   -0.637
   -0.036    0.025    0.477
            0.000000  0.000000  0.135000
  -21.774  -19.227  -14.848  -11.001  -10.416   -9.762   -8.580   -8.159   -7.226   -0.639
   -0.023    0.040    0.494
            0.000000  0.000000  0.137500
  -21.762  -19.216  -14.839  -10.997  -10.457   -9.748   -8.618   -8.167   -7.212   -0.640
   -0.009    0.056    0.510
            0.000000  0.000000  0.140000
  -21.750  -19.204  -14.830  -10.993  -10.498   -9.734   -8.656   -8.175   -7.197   -0.642
    0.004    0.071    0.527
            0.000000  0.000000  0.142500
  -21.738  -19.193  -14.821  -10.989  -10.540   -9.719   -8.695   -8.183   -7.183   -0.644
    0.018    0.087    0.545
            0.000000  0.000000  0.145000
  -21.725  -19.181  -14.812  -10.985  -10.581   -9.704   -8.734   -8.191   -7.168   -0.647
    0.032    0.103    0.562
            0.000000  0.000000  0.147500
  -21.713  -19.169  -14.803  -10.981  -10.624   -9.689   -8.773   -8.199   -7.152   -0.649
    0.047    0.119    0.580
            0.000000  0.000000  0.150000
  -21.700  -19.156  -14.793  -10.977  -10.666   -9.674   -8.812   -8.207   -7.137   -0.652
    0.061    0.136    0.598
            0.000000  0.000000  0.152500
  -21.687  -19.144  -14.784  -10.974  -10.709   -9.658   -8.851   -8.216   -7.121   -0.655
    0.076    0.153    0.617
            0.000000  0.000000  0.155000
  -21.673  -19.131  -14.775  -10.970  -10.751   -9.643   -8.891   -8.225   -7.105   -0.659
    0.091    0.170    0.636
            0.000000  0.000000  0.157500
  -21.660  -19.118  -14.765  -10.966  -10.794   -9.627   -8.931   -8.234   -7.089   -0.662
    0.106    0.188    0.655
            0.000000  0.000000  0.160000
  -21.646  -19.105  -14.755  -10.963  -10.838   -9.610   -8.971   -8.243   -7.072   -0.666
    0.121    0.205    0.674
            0.000000  0.000000  0.162500
  -21.632  -19.092  -14.746  -10.959  -10.881   -9.594   -9.011   -8.253   -7.055   -0.671
    0.137    0.223    0.694
            0.000000  0.000000  0.165000
  -21.618  -19.078  -14.736  -10.956  -10.925   -9.577   -9.051   -8.263   -7.038   -0.675
    0.152    0.242    0.714
            0.000000  0.000000  0.167500
  -21.603  -19.065  -14.726  -10.969  -10.953   -9.560   -9.091   -8.273   -7.021   -0.680
    0.168    0.260    0.734
            0.000000  0.000000  0.170000
  -21.589  -19.051  -14.716  -11.013  -10.950   -9.543   -9.131   -8.283   -7.003   -0.686
    0.184    0.279    0.755
            0.000000  0.000000  0.172500
  -21.574  -19.037  -14.706  -11.057  -10.947   -9.525   -9.171   -8.293   -6.985   -0.691
    0.200    0.298    0.776
            0.000000  0.000000  0.175000
  -21.559  -19.022  -14.696  -11.101  -10.945   -9.507   -9.211   -8.304   -6.967   -0.697
    0.217    0.317    0.797
            0.000000  0.000000  0.177500
  -21.544  -19.008  -14.686  -11.146  -10.943   -9.489   -9.251   -8.315   -6.949   -0.704
    0.234    0.337    0.819
            0.000000  0.000000  0.180000
  -21.528  -18.993  -14.676  -11.190  -10.941   -9.471   -9.291   -8.326   -6.930   -0.710
