#k-point      Pristine            Increased        Decreased
1             -36.38440067        -36.38878291     -36.37820282
2             -36.73135669        -36.73371859     -36.72737190
3             -36.84732143        -36.84747418     -36.84563433
4             -36.88935962        -36.88882270     -36.88839987
5             -36.88517609        -36.88479453     -36.88404969
6             -36.88340986        -36.88305957     -36.88225461
7             -36.88795329        -36.88750189     -36.88690427
8             -36.88696592        -36.88654063     -36.88588690
9             -36.88602286        -36.88561973     -36.88492292
10            -36.88733948        -36.88690226     -36.88627362
11            -36.88704888        -36.88661918     -36.88597396
12            -36.88662622        -36.88620676     -36.88554077
13            -36.88715932        -36.88672561     -36.88608864
14            -36.88704722        -36.88661704     -36.88597281
15            -36.88683453        -36.88641054     -36.88575469

