#ecutrho (Ry)    Total energy (Ry)    delta_e (|Ry|)
210               -36.88780992         0.00125839
280               -36.88749501         0.00031491
350               -36.88748588         0.00000913
420               -36.88748844         0.00000256
490               -36.88748977         0.00000133
560               -36.88748872         0.00000105
630               -36.88748727         0.00000145
700               -36.88748771         0.00000044
770               -36.88748845         0.00000074
840               -36.88748850         0.00000005
910               -36.88748862         0.00000012
980               -36.88748929         0.00000067
1050              -36.88748943         0.00000014








