#ecutrho (Ry)    Total energy (Ry)
2               -36.88906831
3               -36.88780992
4               -36.88749501
5               -36.88748588
6               -36.88748844
7               -36.88748977
8               -36.88748872
9               -36.88748727
10              -36.88748771
11              -36.88748845
12              -36.88748850
13              -36.88748862
14              -36.88748929
15              -36.88748943


#ecutrho (Ry)    Total energy (Ry)    delta_e (|Ry|)
2               -36.88906831         -
3               -36.88780992         0.00125839
4               -36.88749501         0.00031491
5               -36.88748588         0.00000913
6               -36.88748844         0.00000256
7               -36.88748977         0.00000133
8               -36.88748872         0.00000105
9               -36.88748727         0.00000145
10              -36.88748771         0.00000044
11              -36.88748845         0.00000074
12              -36.88748850         0.00000005
13              -36.88748862         0.00000012
14              -36.88748929         0.00000067
15              -36.88748943         0.00000014
