#ENCUT(Ry)   Total energy (Ry)    delta_e
15           -36.44547342         0.56472246
20           -36.74546584         0.29999242
25           -36.84106600         0.09560016
30           -36.87085086         0.02978486
35           -36.88207673         0.01122587
40           -36.88543642         0.00335969
45           -36.88602156         0.00058514
50           -36.88616277         0.00014121
55           -36.88634276         0.00017999
60           -36.88654904         0.00020628
65           -36.88673913         0.00019009
70           -36.88688480         0.00014567
75           -36.88697770         0.00009290
80           -36.88702401         0.00004631







