# ENCUT        Pristine          Increased         Decreased
10            -35.86906084      -35.87802903      -35.86580706
15            -36.44374422      -36.44843024      -36.43806492
20            -36.74514225      -36.74730736      -36.74202280
25            -36.84101625      -36.84112610      -36.83902254
30            -36.87085523      -36.87041420      -36.86976959
35            -36.88210890      -36.88173242      -36.88089492
40            -36.88542230      -36.88503085      -36.88431478
45            -36.88602286      -36.88561973      -36.88492292
50            -36.88616758      -36.88575793      -36.88506773
55            -36.88634215      -36.88593940      -36.88523962
60            -36.88655093      -36.88614992      -36.88544686
65            -36.88673833      -36.88634318      -36.88562958
70            -36.88688450      -36.88649288      -36.88577325
75            -36.88697811      -36.88658571      -36.88586524
80            -36.88702401      -36.88663131      -36.88591263
