#ENCUT(Ry)   Total energy (Ry)    delta_e
2            -36.73220426         0.34703695
3            -36.84817580         0.11597154
4            -36.89022312         0.04204732
5            -36.88603715         0.00418597
6            -36.88427237         0.00176478
7            -36.88881579         0.00454342
8            -36.88782659         0.00098920
9            -36.88688480         0.00094179
10           -36.88820137         0.00131657
11           -36.88791037         0.00029100
12           -36.88748771         0.00042266
13           -36.88802096         0.00053325
14           -36.88790843         0.00011253
15           -36.88769598         0.00021245


